loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status,has_default_history
9058,1063,mortgage,2000000,13.25,active,no
9059,1064,mortgage,2000000,15.84,active,no
9060,1065,mortgage,100000,8.58,active,no
9061,1066,mortgage,1000000,11.64,active,no
9062,1067,mortgage,200000,15.3,active,no
9063,1068,mortgage,100000,11.78,active,no
9064,1069,mortgage,2000000,14.26,active,no
9065,1070,mortgage,100000,14.04,active,no
9066,1071,mortgage,50000,10.14,active,no
9067,1073,mortgage,50000,12.1,active,no
9068,1074,mortgage,100000,13.03,defaulted,no
9069,1075,mortgage,1000000,14.22,paid,no
9070,1076,mortgage,200000,15.08,defaulted,no
9071,1077,mortgage,50000,14.58,active,no
9072,1078,mortgage,2000000,8.73,paid,no
9073,1079,mortgage,5000000,13.87,active,no
9074,1080,mortgage,50000,12.48,paid,no
9075,1081,mortgage,2000000,13.09,active,no
9076,1082,mortgage,5000000,11.48,active,no
9077,1083,mortgage,200000,14.21,active,no
9078,1084,mortgage,5000000,13.89,active,no
9079,1085,mortgage,50000,13.14,active,no
9080,1086,mortgage,5000000,15.39,defaulted,no
9081,1087,mortgage,1000000,9.32,active,no
9082,1088,mortgage,2000000,10.91,paid,no
9083,1089,mortgage,50000,12.46,active,no
9084,1090,mortgage,50000,16.17,paid,no
9085,1091,mortgage,100000,9.08,paid,no
9086,1092,mortgage,1000000,11.2,active,no
9087,1093,mortgage,1000000,15.91,active,no
9088,1094,mortgage,100000,15.68,paid,no
9089,1095,mortgage,5000000,15.42,active,no
9090,1096,mortgage,2000000,10.97,active,no
9091,1097,mortgage,500000,15.27,active,no
9092,1098,mortgage,200000,12.54,active,no
9093,1099,mortgage,1000000,13.46,active,no
9094,1100,mortgage,500000,10.41,active,no
9095,1101,mortgage,2000000,14.15,paid,no
9096,1102,mortgage,200000,11.12,paid,no
9097,1103,mortgage,1000000,11.25,active,no
9098,1104,mortgage,50000,13.59,active,no
9099,1105,mortgage,1000000,10.42,active,no
9100,1106,mortgage,200000,10.3,active,no
9101,1107,mortgage,5000000,11.45,paid,no
9102,1108,mortgage,500000,14.72,paid,no
9103,1109,mortgage,5000000,10.3,paid,no
9104,1110,mortgage,50000,14.8,defaulted,no
9105,1111,mortgage,200000,14.06,active,no
9106,1112,mortgage,2000000,13.93,active,no
9107,1113,mortgage,5000000,12.3,paid,no
9108,1114,mortgage,200000,14.47,paid,no
9109,1115,mortgage,1000000,8.61,paid,yes
9110,1116,mortgage,2000000,10.94,paid,no
9111,1117,mortgage,100000,13.93,active,no
9112,1118,mortgage,100000,16.4,defaulted,no
9113,1119,mortgage,5000000,8.52,paid,no
9114,1121,mortgage,50000,12.58,active,no
9115,1122,mortgage,200000,15.89,paid,no
9116,1123,mortgage,500000,15.41,active,no
9117,1124,mortgage,50000,8.69,paid,no
9118,1125,mortgage,2000000,12.74,defaulted,no
9119,1126,mortgage,5000000,8.53,active,no
9120,1127,mortgage,50000,14.82,paid,no
9121,1128,mortgage,5000000,10.97,paid,no
9122,1129,mortgage,1000000,14.62,paid,no
9123,1130,mortgage,2000000,16.06,active,no
9124,1131,mortgage,500000,16.31,active,no
9125,1133,mortgage,200000,15.65,active,no
9126,1134,mortgage,2000000,10.13,active,no
9127,1135,mortgage,200000,10.06,active,no
9128,1136,mortgage,200000,13.51,paid,no
9129,1137,mortgage,50000,12.85,defaulted,no
9130,1139,mortgage,1000000,8.58,active,no
9131,1140,mortgage,50000,11.63,active,no
9132,1141,mortgage,100000,15.75,paid,no
9133,1142,mortgage,100000,15.69,active,no
9134,1143,mortgage,200000,10.13,defaulted,no
9135,1144,mortgage,1000000,11.56,paid,no
9136,1145,mortgage,2000000,12.98,paid,no
9137,1146,mortgage,200000,15.32,active,no
9138,1147,mortgage,2000000,12.76,active,no
9139,1148,mortgage,200000,16.25,active,no
9140,1149,mortgage,50000,14.89,active,no
9141,1150,mortgage,200000,16.12,paid,no
9142,1151,mortgage,200000,14.35,active,no
9143,1152,mortgage,1000000,15.52,active,no
9144,1153,mortgage,1000000,15.15,paid,no
9145,1154,mortgage,5000000,10.53,active,no
9146,1156,mortgage,2000000,10.34,active,no
9147,1157,mortgage,1000000,15.42,paid,no
9148,1158,mortgage,200000,9.18,active,no
9149,1159,mortgage,1000000,11.77,active,no
9150,1160,mortgage,1000000,15.07,active,no
9151,1161,mortgage,500000,15.01,active,no
9152,1162,mortgage,500000,9.61,active,no
9153,1163,mortgage,100000,12.4,active,no
9154,1164,mortgage,50000,12.34,active,no
9155,1165,mortgage,5000000,11.09,active,no
9156,1166,mortgage,5000000,15.84,active,no
9157,1167,mortgage,50000,13.72,paid,no
9158,1168,mortgage,1000000,16.34,active,no
9159,1169,mortgage,100000,9.03,active,no
9160,1170,mortgage,100000,11.65,active,no
9161,1171,mortgage,2000000,15.18,active,no
9162,1172,mortgage,5000000,11.88,paid,no
9163,1173,mortgage,500000,10.6,paid,no
9164,1174,mortgage,100000,16.48,paid,no
9165,1175,mortgage,200000,15.48,active,no
9166,1176,mortgage,2000000,12.87,active,no
9167,1177,mortgage,5000000,12.99,paid,no
9168,1178,mortgage,1000000,8.55,defaulted,no
9169,1179,mortgage,200000,16.35,defaulted,no
9170,1180,mortgage,50000,14.95,defaulted,no
9171,1181,mortgage,5000000,8.79,paid,no
9172,1182,mortgage,500000,9.91,active,no
9173,1183,mortgage,200000,15.07,active,no
9174,1184,mortgage,1000000,9.19,paid,no
9175,1185,mortgage,200000,16.03,active,no
9176,1186,mortgage,200000,16.5,active,no
9177,1187,mortgage,100000,15.59,paid,no
9178,1188,mortgage,500000,14.41,paid,no
9179,1189,mortgage,50000,12.4,paid,no
9180,1190,mortgage,1000000,9.16,active,no
9181,1191,mortgage,2000000,14.34,active,no
9182,1192,mortgage,2000000,11.67,defaulted,no
9183,1193,mortgage,1000000,13.06,paid,no
9184,1194,mortgage,50000,10.85,active,no
9185,1195,mortgage,1000000,10.44,active,no
9186,1196,mortgage,100000,11.09,defaulted,no
9187,1197,mortgage,2000000,15.01,active,no
9188,1198,mortgage,5000000,11.91,active,no
9189,1199,mortgage,2000000,10.99,active,no
9190,1200,mortgage,5000000,11.96,active,no
9191,1201,mortgage,200000,8.76,active,no
9192,1202,mortgage,100000,15.62,active,no
9193,1203,mortgage,2000000,12.91,active,no
9194,1204,mortgage,100000,9.34,active,no
9195,1205,mortgage,100000,10.81,active,no
9196,1206,mortgage,50000,16.37,defaulted,no
9197,1207,mortgage,2000000,13.24,active,no
9198,1208,mortgage,5000000,10.83,active,no
9199,1209,mortgage,500000,11.91,active,no
9200,1210,mortgage,5000000,10.57,active,no
9201,1211,mortgage,50000,8.75,paid,yes
9202,1212,mortgage,50000,15.24,active,no
9203,1213,mortgage,100000,10.84,defaulted,no
9204,1214,mortgage,500000,15.21,active,yes
9205,1215,mortgage,50000,12.33,defaulted,no
9206,1216,mortgage,500000,9.96,active,no
9207,1217,mortgage,2000000,14.91,paid,yes
9208,1219,mortgage,100000,11.52,paid,no
9209,1220,mortgage,50000,14.16,active,no
9210,1221,mortgage,500000,15.2,active,no
9211,1222,mortgage,1000000,16.2,active,no
9212,1223,mortgage,5000000,9.19,active,yes
9213,1224,mortgage,50000,8.57,paid,no
9214,1225,mortgage,50000,12.89,paid,no
9215,1226,mortgage,50000,10.61,active,no
9216,1227,mortgage,500000,12.25,active,no
9217,1228,mortgage,200000,9.08,defaulted,no
9218,1229,mortgage,2000000,12.51,active,no
9219,1230,mortgage,5000000,9.5,active,no
9220,1231,mortgage,50000,15.21,active,no
9221,1232,mortgage,1000000,14.58,defaulted,no
9222,1233,mortgage,1000000,9.09,paid,yes
9223,1234,mortgage,100000,15.19,active,no
9224,1235,mortgage,200000,11.1,active,no
9225,1236,mortgage,200000,11.32,active,no
9226,1237,mortgage,500000,9.94,active,no
9227,1239,mortgage,100000,15.18,paid,no
9228,1243,mortgage,5000000,11.74,active,no
9229,1244,mortgage,500000,8.89,active,no
9230,1245,mortgage,100000,16.23,active,no
9231,1247,personal,2000000,10.55,active,no
9232,1251,mortgage,200000,15.99,defaulted,no
9233,1252,mortgage,5000000,10.91,active,no
9234,1254,mortgage,2000000,15.15,active,no
9235,1255,mortgage,5000000,13.81,paid,no
9236,1256,mortgage,500000,15.39,active,no
9237,1257,personal,100000,16.31,active,no
9238,1258,mortgage,200000,15.47,active,no
9239,1259,mortgage,200000,11.73,active,no
9240,1260,mortgage,5000000,15.02,defaulted,no
9241,1262,mortgage,5000000,14.19,active,no
9242,1264,mortgage,5000000,8.99,active,no
9243,1266,mortgage,50000,15.94,paid,no
9244,1270,mortgage,500000,12.23,active,no
9245,1276,personal,50000,9.58,defaulted,no
9246,1278,personal,5000000,11.9,active,no
9247,1279,personal,5000000,13.33,active,no
9248,1291,mortgage,200000,13.08,active,no
9249,1293,mortgage,500000,13.1,active,no
9250,1294,personal,500000,10.55,active,no
9251,1295,mortgage,2000000,13.56,active,yes
9252,1296,mortgage,1000000,15.76,active,no
9253,1297,mortgage,100000,11.61,active,no
9254,1298,mortgage,1000000,13.54,active,no
9255,1301,mortgage,1000000,10.45,active,no
9256,1303,mortgage,5000000,8.89,active,no
9257,1304,personal,200000,13.19,active,no
9258,1305,mortgage,2000000,8.88,active,no
9259,1312,mortgage,100000,14.29,paid,no
9260,1316,mortgage,5000000,13.86,active,no
9261,1320,mortgage,5000000,11.45,active,no
9262,1322,mortgage,1000000,11.79,active,no
9263,1323,personal,1000000,15.84,active,no
9264,1325,personal,500000,8.61,paid,no
9265,1328,mortgage,200000,13.01,active,no
9266,1333,mortgage,1000000,15.89,active,no
9267,1334,mortgage,100000,15.81,active,no
9268,1336,personal,50000,13.18,defaulted,no
9269,1337,mortgage,5000000,11.55,active,no
9270,1339,personal,50000,9.29,active,no
9271,1340,personal,200000,9.89,active,no
9272,1341,personal,50000,13.94,active,no
9273,1342,mortgage,500000,8.63,active,no
9274,1343,personal,500000,15.57,active,no
9275,1344,mortgage,100000,13.2,active,no
9276,1345,mortgage,2000000,8.86,active,no
9277,1347,mortgage,200000,10.42,active,no
9278,1349,mortgage,200000,13.25,active,no
9279,1350,mortgage,5000000,8.78,active,no
9280,1354,mortgage,50000,14.74,active,no
9281,1355,mortgage,1000000,15.86,active,no
9282,1356,mortgage,1000000,16.19,active,no
9283,1357,mortgage,2000000,14.37,active,no
9284,1358,mortgage,5000000,15.35,active,no
9285,1359,personal,1000000,13.39,paid,no
9286,1360,personal,2000000,12.17,active,no
9287,1361,personal,5000000,14.21,defaulted,no
9288,1362,mortgage,100000,10.29,paid,no
9289,1365,personal,200000,9.38,paid,no
9290,1366,personal,50000,14.59,active,no
9291,1368,mortgage,100000,16.17,paid,no
9292,1369,mortgage,500000,13.12,paid,no
9293,1371,mortgage,500000,12.36,paid,no
9294,1372,mortgage,500000,12.78,active,no
9295,1374,personal,2000000,12.33,active,no
9296,1379,personal,2000000,12.04,active,no
9297,1380,personal,5000000,16.08,active,no
9298,1381,mortgage,200000,12.34,paid,yes
9299,1382,personal,500000,9.15,active,no
9300,1383,mortgage,2000000,14.62,active,no
9301,1385,personal,5000000,11.63,active,no
9302,1386,mortgage,2000000,14.19,active,no
9303,1389,personal,1000000,13.14,paid,no
9304,1390,personal,2000000,14.21,paid,no
9305,1391,personal,500000,9.0,active,no
9306,1392,personal,100000,8.77,active,no
9307,1393,personal,500000,11.53,active,no
9308,1394,personal,5000000,14.05,active,no
9309,1395,personal,5000000,10.29,active,yes
9310,1397,personal,5000000,11.97,paid,no
9311,1398,personal,1000000,16.35,defaulted,no
9312,1399,personal,500000,10.22,active,no
9313,1400,personal,50000,15.28,active,no
9314,1402,mortgage,1000000,15.1,active,no
9315,1403,mortgage,200000,15.63,paid,no
9316,1405,mortgage,500000,15.82,paid,no
9317,1406,personal,2000000,12.56,active,no
9318,1407,personal,100000,13.96,active,yes
9319,1408,mortgage,500000,13.45,active,no
9320,1409,mortgage,100000,10.97,paid,yes
9321,1410,personal,5000000,10.74,active,no
9322,1411,mortgage,5000000,11.23,paid,no
9323,1412,mortgage,50000,10.25,active,no
9324,1413,personal,200000,14.56,paid,no
9325,1414,personal,2000000,16.22,active,no
9326,1415,personal,1000000,15.44,paid,no
9327,1416,mortgage,1000000,10.24,defaulted,no
9328,1418,mortgage,200000,8.92,defaulted,no
9329,1419,mortgage,50000,14.56,defaulted,no
9330,1420,mortgage,50000,11.62,active,no
9331,1421,personal,5000000,15.1,active,no
9332,1422,personal,500000,14.73,active,no
9333,1423,mortgage,50000,13.5,active,no
9334,1424,personal,500000,10.54,active,no
9335,1425,mortgage,100000,9.33,active,no
9336,1427,mortgage,200000,10.52,paid,no
9337,1428,personal,100000,12.58,active,no
9338,1430,mortgage,100000,16.34,paid,no
9339,1432,mortgage,100000,9.01,active,no
9340,1433,personal,100000,10.1,paid,no
9341,1434,mortgage,1000000,13.52,active,no
9342,1436,mortgage,50000,10.93,active,no
9343,1437,mortgage,200000,15.37,active,no
9344,1438,mortgage,200000,9.62,paid,no
9345,1439,mortgage,2000000,16.21,defaulted,no
9346,1440,mortgage,100000,15.8,active,no
9347,1441,mortgage,200000,15.6,active,no
9348,1442,personal,5000000,9.88,paid,no
9349,1443,mortgage,500000,11.14,active,no
9350,1444,mortgage,200000,14.93,active,no
9351,1445,personal,5000000,14.96,active,no
9352,1446,mortgage,100000,14.14,paid,no
9353,1447,mortgage,200000,12.08,active,no
9354,1448,personal,50000,10.99,active,no
9355,1449,mortgage,100000,16.2,active,no
9356,1450,mortgage,1000000,9.61,defaulted,no
9357,1451,personal,5000000,8.85,active,no
9358,1452,personal,50000,8.57,paid,no
9359,1453,mortgage,200000,14.7,active,no
9360,1454,mortgage,1000000,8.95,active,no
9361,1455,mortgage,2000000,12.81,defaulted,no
9362,1456,personal,50000,11.44,active,no
9363,1458,personal,2000000,9.68,paid,no
9364,1461,personal,500000,14.42,defaulted,no
9365,1464,mortgage,50000,8.94,paid,no
9366,1465,mortgage,1000000,11.05,active,no
9367,1466,mortgage,2000000,13.0,paid,no
9368,1467,mortgage,500000,11.72,paid,no
9369,1469,mortgage,2000000,10.57,defaulted,no
9370,1470,mortgage,200000,15.91,paid,no
9371,1472,mortgage,100000,15.95,active,no
9372,1473,mortgage,2000000,11.83,paid,no
9373,1474,mortgage,200000,11.65,active,no
9374,1475,mortgage,100000,10.96,active,no
9375,1476,personal,100000,15.35,active,no
9376,1477,mortgage,1000000,13.04,paid,no
9377,1479,mortgage,5000000,9.22,active,no
9378,1480,mortgage,500000,15.33,paid,no
9379,1481,mortgage,5000000,12.78,active,no
9380,1482,personal,500000,11.82,active,no
9381,1483,mortgage,50000,11.2,active,no
9382,1484,mortgage,200000,9.3,active,no
9383,1485,mortgage,1000000,16.15,active,no
9384,1486,mortgage,2000000,14.43,defaulted,no
9385,1487,personal,200000,9.55,active,no
9386,1488,mortgage,2000000,12.59,active,no
9387,1489,mortgage,5000000,12.94,active,no
9388,1490,mortgage,2000000,9.84,active,no
9389,1491,mortgage,5000000,11.92,active,no
9390,1492,mortgage,5000000,13.67,active,no
9391,1494,mortgage,2000000,10.77,active,no
9392,1495,mortgage,50000,11.15,active,no
9393,1496,mortgage,5000000,9.48,paid,no
9394,1497,mortgage,50000,11.81,active,no
9395,1498,personal,1000000,13.17,active,no
9396,1499,mortgage,50000,9.43,defaulted,no
9397,1500,mortgage,1000000,13.42,active,no
9398,1501,mortgage,50000,11.68,active,no
9399,1503,mortgage,500000,13.93,paid,no
9400,1504,mortgage,1000000,11.02,paid,no
9401,1505,mortgage,500000,13.05,active,no
9402,1506,mortgage,5000000,13.4,active,no
9403,1508,mortgage,500000,14.02,active,no
9404,1510,mortgage,1000000,14.56,defaulted,no
9405,1512,personal,200000,9.59,paid,no
9406,1513,mortgage,5000000,16.22,active,no
9407,1514,mortgage,5000000,15.25,active,no
9408,1515,mortgage,100000,13.0,active,no
9409,1516,personal,50000,15.62,active,no
9410,1517,personal,2000000,11.56,paid,no
9411,1518,mortgage,50000,8.77,defaulted,no
9412,1519,mortgage,2000000,14.32,active,no
9413,1520,mortgage,200000,16.05,paid,no
9414,1521,personal,100000,9.79,active,no
9415,1523,mortgage,200000,13.65,active,no
9416,1524,personal,100000,15.01,paid,no
9417,1525,mortgage,1000000,15.74,active,no
9418,1526,mortgage,1000000,10.71,active,no
9419,1528,personal,2000000,9.53,paid,no
9420,1529,personal,500000,10.48,active,no
9421,1532,mortgage,500000,13.12,defaulted,no
9422,1533,mortgage,2000000,15.85,active,no
9423,1534,personal,1000000,13.16,active,no
9424,1535,mortgage,2000000,15.86,active,no
9425,1536,mortgage,500000,14.66,active,no
9426,1538,mortgage,2000000,13.29,defaulted,no
9427,1539,mortgage,1000000,8.67,active,no
9428,1540,mortgage,200000,11.16,active,no
9429,1542,mortgage,50000,8.96,active,no
9430,1543,mortgage,1000000,11.08,paid,no
9431,1544,mortgage,2000000,9.0,active,no
9432,1545,mortgage,1000000,9.84,active,no
9433,1546,mortgage,1000000,11.79,paid,no
9434,1547,personal,500000,12.62,active,no
9435,1548,personal,2000000,10.24,defaulted,no
9436,1549,mortgage,500000,14.36,paid,no
9437,1550,mortgage,2000000,13.22,active,no
9438,1551,mortgage,500000,14.03,paid,no
9439,1552,mortgage,500000,14.36,paid,no
9440,1553,mortgage,200000,14.32,paid,no
9441,1554,mortgage,1000000,15.99,active,no
9442,1556,mortgage,200000,10.4,paid,no
9443,1557,mortgage,500000,10.66,active,no
9444,1558,mortgage,200000,9.25,active,no
9445,1559,mortgage,5000000,13.24,paid,no
9446,1561,mortgage,5000000,11.66,paid,no
9447,1562,mortgage,1000000,12.47,active,no
9448,1564,mortgage,1000000,9.86,active,no
9449,1565,mortgage,500000,13.69,paid,no
9450,1566,mortgage,1000000,13.45,defaulted,no
9451,1567,personal,200000,10.62,active,yes
9452,1568,mortgage,100000,12.22,active,no
9453,1569,mortgage,1000000,15.65,paid,no
9454,1570,mortgage,200000,14.69,active,no
9455,1571,mortgage,5000000,10.32,active,no
9456,1572,mortgage,5000000,15.53,active,no
9457,1574,mortgage,200000,9.04,active,no
9458,1575,mortgage,5000000,11.81,active,no
9459,1577,mortgage,200000,9.14,paid,no
9460,1578,mortgage,1000000,15.89,active,no
9461,1579,mortgage,100000,8.83,active,no
9462,1580,mortgage,500000,9.71,active,no
9463,1581,personal,500000,15.82,active,no
9464,1582,personal,1000000,13.16,active,no
9465,1583,personal,1000000,14.86,active,no
9466,1586,mortgage,5000000,8.63,paid,no
9467,1587,mortgage,50000,11.85,paid,no
9468,1588,mortgage,2000000,16.38,active,no
9469,1589,mortgage,100000,13.14,active,no
9470,1590,mortgage,200000,15.3,active,no
9471,1591,mortgage,2000000,16.21,active,no
9472,1592,personal,200000,13.98,active,no
9473,1593,mortgage,2000000,11.12,paid,no
9474,1594,personal,500000,10.97,active,no
9475,1595,mortgage,2000000,9.07,defaulted,no
9476,1597,mortgage,1000000,11.92,active,no
9477,1598,mortgage,100000,15.82,paid,no
9478,1599,mortgage,500000,12.32,active,no
9479,1600,personal,5000000,15.79,active,no
9480,1603,mortgage,2000000,15.04,paid,no
9481,1604,mortgage,100000,16.37,paid,no
9482,1606,mortgage,1000000,16.08,active,no
9483,1607,personal,5000000,14.15,paid,no
9484,1608,personal,200000,15.47,active,no
9485,1614,mortgage,5000000,14.48,active,no
9486,1616,mortgage,50000,14.13,active,no
9487,1617,personal,100000,14.22,paid,no
9488,1619,mortgage,200000,14.27,active,no
9489,1623,personal,100000,11.54,paid,yes
9490,1624,mortgage,100000,11.89,active,yes
9491,1628,personal,100000,10.85,active,yes
9492,1632,personal,1000000,9.69,active,no
9493,1634,mortgage,500000,12.17,active,no
9494,1636,mortgage,100000,15.7,active,no
9495,1637,mortgage,1000000,13.71,active,no
9496,1640,personal,50000,8.95,active,no
9497,1643,mortgage,500000,14.99,paid,no
9498,1644,mortgage,1000000,15.98,active,no
9499,1645,mortgage,5000000,15.14,active,no
9500,1649,mortgage,50000,14.32,paid,no
9501,1652,personal,5000000,9.7,active,no
9502,1667,mortgage,500000,11.29,active,no
9503,1671,mortgage,1000000,13.02,active,no
9504,1678,personal,50000,9.11,active,no
9505,1680,mortgage,1000000,9.35,active,no
9506,1693,mortgage,50000,15.97,active,no
9507,1697,personal,100000,14.12,active,no
9508,1700,mortgage,100000,10.7,active,no
9509,1706,mortgage,500000,11.12,active,no
9510,1712,mortgage,50000,11.58,active,no
9511,1717,personal,100000,9.1,active,no
9512,1722,personal,500000,14.41,active,no
9513,1727,mortgage,200000,9.91,paid,no
9514,1734,mortgage,100000,14.94,paid,no
9515,1740,mortgage,100000,15.27,paid,no
9516,1744,personal,2000000,13.61,paid,no
9517,1745,personal,1000000,14.66,active,no
9518,1754,mortgage,200000,9.87,active,no
9519,1762,mortgage,50000,13.11,active,no
9520,1763,mortgage,500000,13.91,active,no
9521,1765,mortgage,200000,13.79,active,no
9522,1767,mortgage,50000,9.44,active,no
9523,1771,personal,100000,11.26,defaulted,no
9524,1775,mortgage,5000000,11.1,defaulted,no
9525,1781,mortgage,2000000,13.08,active,no
9526,1788,mortgage,5000000,14.62,active,no
9527,1791,mortgage,500000,13.06,active,no
9528,1796,mortgage,500000,14.54,paid,no
9529,1800,mortgage,200000,9.29,active,no
9530,1821,mortgage,1000000,15.53,active,no
9531,1829,mortgage,50000,12.79,paid,no
9532,1837,personal,2000000,8.8,active,no
9533,1849,mortgage,2000000,13.65,active,no
9534,1851,mortgage,5000000,12.64,active,no
9535,1856,mortgage,200000,10.26,defaulted,no
9536,1874,mortgage,1000000,14.62,paid,no
9537,1879,mortgage,1000000,15.97,active,no
9538,1880,mortgage,1000000,11.08,active,no
9539,1882,personal,500000,12.45,active,no
9540,1884,mortgage,50000,9.53,paid,no
9541,1885,mortgage,50000,15.94,active,no
9542,1886,mortgage,5000000,11.05,active,no
9543,1889,mortgage,200000,10.06,active,no
9544,1890,mortgage,100000,12.33,active,no
9545,1891,mortgage,200000,8.85,active,no
9546,1892,mortgage,50000,10.52,active,no
9547,1893,mortgage,5000000,9.04,active,no
9548,1894,mortgage,500000,9.52,paid,no
9549,1897,personal,200000,9.4,active,no
9550,1898,mortgage,5000000,15.48,active,no
9551,1899,mortgage,100000,15.94,paid,no
9552,1900,mortgage,2000000,12.3,active,no
9553,1901,mortgage,200000,13.54,active,no
9554,1902,mortgage,5000000,14.07,active,no
9555,1907,mortgage,1000000,11.63,paid,no
9556,1909,mortgage,100000,11.46,paid,no
9557,1910,mortgage,1000000,13.9,active,no
9558,1911,mortgage,500000,11.51,paid,no
9559,1912,personal,50000,13.15,defaulted,no
9560,1913,mortgage,200000,12.62,active,no
9561,1914,mortgage,5000000,12.7,active,no
9562,1916,mortgage,200000,15.13,active,no
9563,1919,mortgage,1000000,14.13,active,no
9564,1922,mortgage,1000000,16.19,active,no
9565,1924,mortgage,50000,14.83,paid,no
9566,1927,mortgage,5000000,9.67,active,no
9567,1934,mortgage,200000,14.41,active,no
9568,1935,mortgage,5000000,13.83,active,no
9569,1940,mortgage,50000,13.67,active,no
9570,1941,mortgage,1000000,12.35,paid,no
9571,1943,mortgage,2000000,9.0,active,no
9572,1944,mortgage,5000000,16.11,active,no
9573,1945,mortgage,1000000,15.32,active,no
9574,1947,mortgage,100000,12.39,active,no
9575,1948,mortgage,1000000,9.77,active,no
9576,1950,mortgage,1000000,15.1,paid,no
9577,1951,personal,5000000,11.95,active,no
9578,1953,mortgage,2000000,11.62,active,no
9579,1954,personal,50000,13.82,active,no
9580,1955,mortgage,100000,14.57,paid,no
9581,1957,mortgage,100000,9.0,active,no
9582,1958,mortgage,200000,14.64,paid,no
9583,1961,mortgage,2000000,14.37,active,no
9584,1962,mortgage,500000,13.21,active,no
9585,1963,mortgage,200000,11.21,active,no
9586,1964,mortgage,200000,9.82,paid,no
9587,1966,mortgage,200000,9.32,active,no
9588,1970,mortgage,100000,8.51,active,no
9589,1971,mortgage,50000,10.15,active,no
9590,1972,mortgage,5000000,11.79,paid,no
9591,1974,mortgage,1000000,10.45,active,no
9592,1975,mortgage,100000,10.97,paid,no
9593,1976,mortgage,1000000,11.62,defaulted,no
9594,1977,personal,1000000,10.97,active,no
9595,1978,mortgage,500000,14.3,defaulted,no
9596,1979,mortgage,5000000,12.43,active,no
9597,1983,mortgage,200000,8.65,paid,no
9598,1985,mortgage,500000,10.31,defaulted,no
9599,1986,mortgage,200000,14.18,defaulted,no
9600,1987,mortgage,100000,10.91,active,no
9601,1988,mortgage,1000000,15.86,paid,no
9602,1990,personal,500000,14.2,active,no
9603,1991,mortgage,2000000,10.82,active,no
9604,1992,mortgage,100000,12.63,active,no
9605,1995,mortgage,100000,13.84,active,no
9606,1996,mortgage,2000000,10.05,paid,no
9607,1997,mortgage,200000,10.47,active,no
9608,1998,personal,1000000,12.56,defaulted,yes
9609,1999,mortgage,200000,15.9,active,no
9610,2000,mortgage,200000,11.25,paid,no
9611,2002,mortgage,100000,11.72,paid,no
9612,2004,mortgage,200000,10.02,paid,no
9613,2005,mortgage,50000,13.25,active,no
9614,2006,personal,2000000,14.42,active,no
