campaign_id,customer_id,contact_method,contact_day,contact_month,call_duration_sec,num_contacts,subscribed_deposit
2180,1180,unknown,30,may,1133,2,yes
2181,1181,unknown,30,may,638,1,yes
2182,1182,unknown,30,may,763,1,yes
2183,1183,unknown,30,may,604,2,yes
2184,1184,unknown,30,may,854,2,yes
2185,1185,unknown,30,may,855,2,yes
2186,1186,unknown,30,may,1269,1,yes
2187,1187,unknown,30,may,691,10,yes
2188,1188,unknown,30,may,1097,15,yes
2189,1189,unknown,30,may,1236,2,yes
2190,1190,unknown,30,may,886,3,yes
2191,1191,unknown,30,may,1343,3,yes
2192,1192,unknown,30,may,812,3,yes
2193,1193,unknown,30,may,1980,2,yes
2194,1194,unknown,30,may,984,2,yes
2195,1195,unknown,30,may,228,2,yes
2196,1196,unknown,30,may,891,4,yes
2197,1197,unknown,30,may,745,12,yes
2198,1198,unknown,30,may,539,12,yes
2199,1199,unknown,30,may,1044,5,yes
2200,1200,unknown,30,may,1193,2,yes
2201,1201,unknown,2,jun,526,2,yes
2202,1202,unknown,2,jun,394,1,yes
2203,1203,unknown,2,jun,659,2,yes
2204,1204,unknown,2,jun,1036,1,yes
2205,1205,unknown,2,jun,815,1,yes
2206,1206,unknown,2,jun,563,1,yes
2207,1207,unknown,2,jun,1068,1,yes
2208,1208,unknown,2,jun,230,3,yes
2209,1209,unknown,2,jun,747,2,yes
2210,1210,unknown,2,jun,671,5,yes
2211,1211,unknown,2,jun,555,5,yes
2212,1212,unknown,2,jun,777,4,yes
2213,1213,unknown,2,jun,707,14,yes
2214,1214,unknown,2,jun,432,4,yes
2215,1215,unknown,3,jun,1173,3,yes
2216,1216,unknown,3,jun,963,2,yes
2217,1217,unknown,3,jun,941,3,yes
2218,1218,unknown,3,jun,1025,7,yes
2219,1219,unknown,3,jun,732,2,yes
2220,1220,unknown,3,jun,1045,3,yes
2221,1221,unknown,3,jun,768,1,yes
2222,1222,unknown,3,jun,801,1,yes
2223,1223,unknown,3,jun,482,2,yes
2224,1224,unknown,3,jun,2456,2,yes
2225,1225,unknown,3,jun,1363,7,yes
2226,1226,unknown,3,jun,1336,4,yes
2227,1227,unknown,4,jun,633,1,yes
2228,1228,unknown,4,jun,524,15,yes
2229,1229,unknown,4,jun,578,1,yes
2230,1230,unknown,4,jun,984,2,yes
2231,1231,unknown,4,jun,638,1,yes
2232,1232,unknown,4,jun,767,2,yes
2233,1233,unknown,4,jun,525,2,yes
2234,1234,unknown,4,jun,563,1,yes
2235,1235,unknown,4,jun,1449,6,yes
2236,1236,unknown,4,jun,920,1,yes
2237,1237,unknown,4,jun,908,1,yes
2238,1238,unknown,5,jun,208,1,yes
2239,1239,unknown,5,jun,910,2,yes
2240,1240,unknown,5,jun,1446,1,yes
2241,1241,unknown,5,jun,1149,2,yes
2242,1242,unknown,5,jun,1123,1,yes
2243,1243,unknown,5,jun,508,2,yes
2244,1244,unknown,5,jun,736,2,yes
2245,1245,unknown,5,jun,590,3,yes
2246,1246,unknown,5,jun,636,1,yes
2247,1247,unknown,5,jun,701,1,yes
2248,1248,unknown,5,jun,761,2,yes
2249,1249,unknown,5,jun,1558,1,yes
2250,1250,unknown,5,jun,1053,2,yes
2251,1251,unknown,5,jun,562,15,yes
2252,1252,unknown,5,jun,494,5,yes
2253,1253,unknown,5,jun,1018,3,yes
2254,1254,unknown,5,jun,884,4,yes
2255,1255,unknown,6,jun,709,5,yes
2256,1256,unknown,6,jun,1276,2,yes
2257,1257,unknown,6,jun,381,2,yes
2258,1258,unknown,6,jun,862,11,yes
2259,1259,unknown,6,jun,460,4,yes
2260,1260,unknown,6,jun,467,3,yes
2261,1261,unknown,6,jun,648,2,yes
2262,1262,unknown,6,jun,2653,3,yes
2263,1263,unknown,6,jun,1085,1,yes
2264,1264,unknown,6,jun,369,2,yes
2265,1265,unknown,6,jun,685,3,yes
2266,1266,unknown,9,jun,1055,10,yes
2267,1267,unknown,9,jun,882,1,yes
2268,1268,unknown,9,jun,901,1,yes
2269,1269,unknown,9,jun,700,1,yes
2270,1270,unknown,9,jun,491,6,yes
2271,1271,unknown,9,jun,940,1,yes
2272,1272,unknown,9,jun,3881,3,yes
2273,1273,unknown,9,jun,486,3,yes
2274,1274,unknown,9,jun,1137,3,yes
2275,1275,unknown,11,jun,878,3,yes
2276,1276,unknown,11,jun,583,4,yes
2277,1277,unknown,11,jun,1159,4,yes
2278,1278,unknown,11,jun,893,8,yes
2279,1279,unknown,11,jun,867,1,yes
2280,1280,unknown,11,jun,706,1,yes
2281,1281,unknown,11,jun,1199,1,yes
2282,1282,unknown,11,jun,935,1,yes
2283,1283,unknown,11,jun,586,1,yes
2284,1284,unknown,11,jun,967,2,yes
2285,1285,unknown,11,jun,595,2,yes
2286,1286,unknown,11,jun,1290,2,yes
2287,1287,unknown,12,jun,614,2,yes
2288,1288,unknown,12,jun,885,1,yes
2289,1289,unknown,12,jun,651,5,yes
2290,1290,unknown,12,jun,993,6,yes
2291,1291,unknown,12,jun,577,2,yes
2292,1292,unknown,12,jun,1141,6,yes
2293,1293,unknown,12,jun,1268,2,yes
2294,1294,unknown,12,jun,1243,7,yes
2295,1295,unknown,12,jun,465,3,yes
2296,1296,unknown,16,jun,513,2,yes
2297,1297,unknown,16,jun,686,11,yes
2298,1298,unknown,16,jun,741,4,yes
2299,1299,unknown,16,jun,617,1,yes
2300,1300,unknown,16,jun,1093,1,yes
2301,1301,unknown,16,jun,1395,2,yes
2302,1302,unknown,16,jun,1089,1,yes
2303,1303,unknown,16,jun,1248,3,yes
2304,1304,unknown,16,jun,721,3,yes
2305,1305,unknown,16,jun,750,2,yes
2306,1306,unknown,16,jun,637,6,yes
2307,1307,unknown,16,jun,2769,4,yes
2308,1308,unknown,17,jun,556,1,yes
2309,1309,unknown,17,jun,522,1,yes
2310,1310,unknown,17,jun,1345,3,yes
2311,1311,unknown,17,jun,676,2,yes
2312,1312,unknown,17,jun,775,3,yes
2313,1313,unknown,17,jun,2621,3,yes
2314,1314,unknown,18,jun,1029,1,yes
2315,1315,unknown,18,jun,371,2,yes
2316,1316,unknown,18,jun,1528,2,yes
2317,1317,unknown,18,jun,1540,1,yes
2318,1318,unknown,18,jun,973,1,yes
2319,1319,unknown,18,jun,707,1,yes
2320,1320,unknown,18,jun,625,2,yes
2321,1321,unknown,18,jun,1255,1,yes
2322,1322,unknown,18,jun,704,4,yes
2323,1323,unknown,18,jun,1574,3,yes
2324,1324,unknown,19,jun,1135,4,yes
2325,1325,unknown,19,jun,1007,1,yes
2326,1326,unknown,19,jun,1318,3,yes
2327,1327,unknown,19,jun,922,2,yes
2328,1328,unknown,19,jun,585,1,yes
2329,1329,unknown,19,jun,952,4,yes
2330,1330,unknown,19,jun,834,1,yes
2331,1331,unknown,19,jun,651,3,yes
2332,1332,unknown,19,jun,683,3,yes
2333,1333,unknown,19,jun,1012,1,yes
2334,1334,unknown,19,jun,958,7,yes
2335,1335,unknown,20,jun,973,2,yes
2336,1336,unknown,20,jun,911,1,yes
2337,1337,unknown,20,jun,382,7,yes
2338,1338,unknown,20,jun,1210,1,yes
2339,1339,unknown,20,jun,838,1,yes
2340,1340,unknown,20,jun,422,1,yes
2341,1341,unknown,20,jun,1098,2,yes
2342,1342,unknown,20,jun,1663,1,yes
2343,1343,unknown,20,jun,560,3,yes
2344,1344,unknown,20,jun,1617,1,yes
2345,1345,unknown,20,jun,570,2,yes
2346,1346,unknown,20,jun,1023,3,yes
2347,1347,unknown,20,jun,585,2,yes
2348,1348,unknown,20,jun,693,3,yes
2349,1349,unknown,20,jun,546,10,yes
2350,1350,unknown,20,jun,1036,5,yes
2351,1351,unknown,20,jun,1409,2,yes
2352,1352,unknown,20,jun,988,4,yes
2353,1353,unknown,23,jun,498,2,yes
2354,1354,unknown,23,jun,670,3,yes
2355,1355,unknown,23,jun,662,2,yes
2356,1356,unknown,24,jun,528,2,yes
2357,1357,unknown,26,jun,519,3,yes
2358,1358,unknown,26,jun,677,3,yes
2359,1359,unknown,26,jun,3183,2,yes
2360,1360,unknown,27,jun,422,6,yes
2361,1361,unknown,27,jun,856,2,yes
2362,1362,unknown,1,jul,479,9,yes
2363,1363,unknown,1,jul,1135,2,yes
2364,1364,unknown,1,jul,650,2,yes
2365,1365,unknown,3,jul,587,3,yes
2366,1366,unknown,3,jul,676,1,yes
2367,1367,unknown,4,jul,584,1,yes
2368,1368,cellular,4,jul,1044,3,yes
2369,1369,cellular,7,jul,494,4,yes
2370,1370,cellular,7,jul,615,2,yes
2371,1371,cellular,7,jul,718,2,yes
2372,1372,cellular,7,jul,434,3,yes
2373,1373,cellular,7,jul,782,1,yes
2374,1374,cellular,7,jul,722,3,yes
2375,1375,cellular,7,jul,621,2,yes
2376,1376,cellular,7,jul,629,2,yes
2377,1377,cellular,7,jul,385,5,yes
2378,1378,cellular,7,jul,889,1,yes
2379,1379,cellular,7,jul,532,1,yes
2380,1380,cellular,7,jul,574,1,yes
2381,1381,cellular,7,jul,599,1,yes
2382,1382,cellular,7,jul,849,1,yes
2383,1383,cellular,7,jul,973,3,yes
2384,1384,cellular,7,jul,719,2,yes
2385,1385,cellular,8,jul,509,4,yes
2386,1386,cellular,8,jul,740,1,yes
2387,1387,cellular,8,jul,534,1,yes
2388,1388,cellular,8,jul,531,1,yes
2389,1389,cellular,8,jul,634,1,yes
2390,1390,cellular,8,jul,460,3,yes
2391,1391,cellular,8,jul,681,1,yes
2392,1392,cellular,8,jul,1082,1,yes
2393,1393,cellular,8,jul,730,1,yes
2394,1394,cellular,8,jul,716,5,yes
2395,1395,cellular,8,jul,803,2,yes
2396,1396,cellular,8,jul,635,1,yes
2397,1397,cellular,8,jul,819,3,yes
2398,1398,cellular,8,jul,658,2,yes
2399,1399,cellular,8,jul,1061,4,yes
2400,1400,cellular,8,jul,687,2,yes
2401,1401,cellular,9,jul,537,1,yes
2402,1402,cellular,9,jul,781,1,yes
2403,1403,cellular,9,jul,645,1,yes
2404,1404,cellular,9,jul,1242,1,yes
2405,1405,cellular,9,jul,662,1,yes
2406,1406,cellular,9,jul,625,1,yes
2407,1407,cellular,9,jul,426,3,yes
2408,1408,cellular,9,jul,869,1,yes
2409,1409,cellular,9,jul,556,5,yes
2410,1410,cellular,9,jul,359,5,yes
2411,1411,cellular,9,jul,1014,1,yes
2412,1412,cellular,9,jul,1290,4,yes
2413,1413,cellular,9,jul,564,5,yes
2414,1414,cellular,9,jul,1439,6,yes
2415,1415,cellular,9,jul,919,2,yes
2416,1416,cellular,9,jul,1426,3,yes
2417,1417,cellular,10,jul,901,1,yes
2418,1418,cellular,10,jul,998,4,yes
2419,1419,cellular,10,jul,804,1,yes
2420,1420,cellular,10,jul,961,1,yes
2421,1421,cellular,10,jul,720,2,yes
2422,1422,cellular,10,jul,1341,7,yes
2423,1423,cellular,10,jul,634,1,yes
2424,1424,cellular,10,jul,829,5,yes
2425,1425,cellular,10,jul,476,4,yes
2426,1426,cellular,10,jul,724,1,yes
2427,1427,cellular,10,jul,500,1,yes
2428,1428,cellular,10,jul,2029,1,yes
2429,1429,cellular,10,jul,1499,3,yes
2430,1430,cellular,10,jul,1399,1,yes
2431,1431,cellular,10,jul,1187,3,yes
2432,1432,cellular,10,jul,487,1,yes
2433,1433,cellular,10,jul,1097,3,yes
2434,1434,cellular,11,jul,1060,2,yes
2435,1435,cellular,11,jul,764,2,yes
2436,1436,cellular,11,jul,1120,2,yes
2437,1437,cellular,11,jul,963,2,yes
2438,1438,cellular,11,jul,1973,2,yes
2439,1439,cellular,11,jul,911,2,yes
2440,1440,cellular,11,jul,853,2,yes
2441,1441,cellular,11,jul,1649,2,yes
2442,1442,cellular,14,jul,1397,3,yes
2443,1443,cellular,14,jul,766,3,yes
2444,1444,cellular,14,jul,788,2,yes
2445,1445,cellular,14,jul,1130,3,yes
2446,1446,cellular,14,jul,1062,4,yes
2447,1447,cellular,14,jul,1669,2,yes
2448,1448,cellular,14,jul,1336,4,yes
2449,1449,cellular,14,jul,444,3,yes
2450,1450,cellular,14,jul,894,7,yes
2451,1451,cellular,15,jul,805,3,yes
2452,1452,cellular,15,jul,1056,2,yes
2453,1453,cellular,15,jul,815,4,yes
2454,1454,cellular,15,jul,808,3,yes
2455,1455,cellular,15,jul,860,4,yes
2456,1456,cellular,15,jul,881,1,yes
2457,1457,cellular,15,jul,981,1,yes
2458,1458,cellular,15,jul,1001,3,yes
2459,1459,cellular,15,jul,514,5,yes
2460,1460,cellular,15,jul,716,3,yes
2461,1461,cellular,15,jul,769,4,yes
2462,1462,cellular,15,jul,889,5,yes
2463,1463,cellular,15,jul,448,5,yes
2464,1464,cellular,16,jul,767,5,yes
2465,1465,cellular,16,jul,578,1,yes
2466,1466,cellular,16,jul,1806,4,yes
2467,1467,cellular,16,jul,496,1,yes
2468,1468,cellular,16,jul,586,1,yes
2469,1469,cellular,16,jul,689,1,yes
2470,1470,cellular,16,jul,555,1,yes
2471,1471,cellular,16,jul,686,6,yes
2472,1472,cellular,16,jul,435,1,yes
2473,1473,cellular,16,jul,873,2,yes
2474,1474,cellular,16,jul,1222,1,yes
2475,1475,cellular,16,jul,988,1,yes
2476,1476,cellular,16,jul,1019,11,yes
2477,1477,cellular,16,jul,709,2,yes
2478,1478,cellular,16,jul,561,9,yes
2479,1479,cellular,16,jul,1018,2,yes
2480,1480,cellular,16,jul,1039,2,yes
2481,1481,cellular,16,jul,781,2,yes
2482,1482,cellular,16,jul,1656,5,yes
2483,1483,cellular,17,jul,923,2,yes
2484,1484,cellular,17,jul,1275,1,yes
2485,1485,cellular,17,jul,342,2,yes
2486,1486,telephone,17,jul,1008,2,yes
2487,1487,cellular,17,jul,538,2,yes
2488,1488,cellular,17,jul,795,1,yes
2489,1489,cellular,17,jul,1027,1,yes
2490,1490,cellular,17,jul,1584,2,yes
2491,1491,cellular,17,jul,582,2,yes
2492,1492,telephone,17,jul,1448,7,yes
2493,1493,cellular,17,jul,656,3,yes
2494,1494,cellular,17,jul,1208,1,yes
2495,1495,cellular,17,jul,1175,2,yes
2496,1496,cellular,17,jul,536,5,yes
2497,1497,cellular,17,jul,991,5,yes
2498,1498,cellular,17,jul,1153,4,yes
2499,1499,cellular,18,jul,623,3,yes
2500,1500,cellular,18,jul,1081,2,yes
2501,1501,cellular,18,jul,978,1,yes
2502,1502,cellular,18,jul,536,1,yes
2503,1503,cellular,18,jul,968,1,yes
2504,1504,cellular,18,jul,278,2,yes
2505,1505,cellular,18,jul,560,1,yes
2506,1506,cellular,18,jul,640,3,yes
2507,1507,cellular,18,jul,420,1,yes
2508,1508,cellular,18,jul,658,2,yes
2509,1509,cellular,18,jul,641,1,yes
2510,1510,cellular,18,jul,635,3,yes
2511,1511,cellular,18,jul,588,7,yes
2512,1512,cellular,18,jul,1373,4,yes
2513,1513,cellular,18,jul,913,4,yes
2514,1514,cellular,18,jul,799,2,yes
2515,1515,cellular,18,jul,1139,2,yes
2516,1516,cellular,21,jul,1105,2,yes
2517,1517,cellular,21,jul,854,1,yes
2518,1518,cellular,21,jul,919,2,yes
2519,1519,telephone,21,jul,733,3,yes
2520,1520,cellular,21,jul,553,1,yes
2521,1521,cellular,21,jul,710,1,yes
2522,1522,cellular,21,jul,891,4,yes
2523,1523,telephone,21,jul,691,10,yes
2524,1524,telephone,21,jul,1877,1,yes
2525,1525,telephone,21,jul,1130,8,yes
2526,1526,cellular,21,jul,577,2,yes
2527,1527,cellular,21,jul,1342,2,yes
2528,1528,cellular,21,jul,1002,3,yes
2529,1529,cellular,21,jul,985,11,yes
2530,1530,cellular,21,jul,1360,3,yes
2531,1531,cellular,21,jul,1134,5,yes
2532,1532,cellular,22,jul,712,6,yes
2533,1533,cellular,22,jul,1077,1,yes
2534,1534,cellular,22,jul,560,1,yes
2535,1535,cellular,22,jul,1545,1,yes
2536,1536,cellular,22,jul,654,2,yes
2537,1537,cellular,22,jul,1833,2,yes
2538,1538,cellular,22,jul,1508,1,yes
2539,1539,cellular,22,jul,598,5,yes
2540,1540,cellular,22,jul,1237,7,yes
2541,1541,cellular,22,jul,864,4,yes
2542,1542,cellular,22,jul,1037,8,yes
2543,1543,telephone,22,jul,802,11,yes
2544,1544,cellular,23,jul,754,1,yes
2545,1545,cellular,23,jul,870,1,yes
2546,1546,cellular,23,jul,633,1,yes
2547,1547,cellular,23,jul,690,1,yes
2548,1548,cellular,23,jul,529,1,yes
2549,1549,cellular,23,jul,1152,2,yes
2550,1550,cellular,23,jul,956,9,yes
2551,1551,cellular,23,jul,957,3,yes
2552,1552,cellular,23,jul,1327,2,yes
2553,1553,cellular,23,jul,228,2,yes
2554,1554,cellular,23,jul,808,1,yes
2555,1555,cellular,23,jul,638,2,yes
2556,1556,cellular,23,jul,1201,6,yes
2557,1557,cellular,23,jul,1309,4,yes
2558,1558,cellular,23,jul,1359,6,yes
2559,1559,cellular,23,jul,416,4,yes
2560,1560,cellular,23,jul,532,2,yes
2561,1561,cellular,24,jul,430,4,yes
2562,1562,cellular,24,jul,853,2,yes
2563,1563,cellular,24,jul,1204,1,yes
2564,1564,cellular,24,jul,1484,24,yes
2565,1565,cellular,24,jul,1441,2,yes
2566,1566,cellular,24,jul,454,1,yes
2567,1567,cellular,24,jul,651,1,yes
2568,1568,cellular,24,jul,1491,2,yes
2569,1569,cellular,24,jul,903,1,yes
2570,1570,cellular,24,jul,873,8,yes
2571,1571,cellular,24,jul,901,2,yes
2572,1572,cellular,24,jul,821,2,yes
2573,1573,cellular,24,jul,367,2,yes
2574,1574,cellular,24,jul,458,9,yes
2575,1575,cellular,24,jul,1602,6,yes
2576,1576,telephone,25,jul,1492,2,yes
2577,1577,cellular,25,jul,1422,2,yes
2578,1578,cellular,25,jul,728,2,yes
2579,1579,cellular,25,jul,979,2,yes
2580,1580,cellular,25,jul,616,5,yes
2581,1581,cellular,25,jul,784,1,yes
2582,1582,cellular,25,jul,1000,1,yes
2583,1583,cellular,25,jul,695,1,yes
2584,1584,telephone,25,jul,1946,4,yes
2585,1585,telephone,25,jul,362,8,yes
2586,1586,cellular,25,jul,743,13,yes
2587,1587,cellular,25,jul,2015,1,yes
2588,1588,cellular,25,jul,1031,8,yes
2589,1589,cellular,25,jul,590,8,yes
2590,1590,cellular,25,jul,1330,3,yes
2591,1591,cellular,25,jul,946,3,yes
2592,1592,cellular,25,jul,1448,17,yes
2593,1593,telephone,25,jul,279,4,yes
2594,1594,cellular,25,jul,661,4,yes
2595,1595,cellular,25,jul,1369,9,yes
2596,1596,cellular,25,jul,653,4,yes
2597,1597,cellular,28,jul,458,7,yes
2598,1598,cellular,28,jul,664,8,yes
2599,1599,cellular,28,jul,699,3,yes
2600,1600,cellular,28,jul,939,3,yes
2601,1601,cellular,28,jul,1169,2,yes
2602,1602,cellular,28,jul,837,3,yes
2603,1603,telephone,28,jul,596,4,yes
2604,1604,cellular,28,jul,383,3,yes
2605,1605,telephone,28,jul,1009,7,yes
2606,1606,cellular,28,jul,1096,4,yes
2607,1607,cellular,28,jul,867,2,yes
2608,1608,cellular,28,jul,551,3,yes
2609,1609,cellular,28,jul,890,4,yes
2610,1610,cellular,29,jul,874,2,yes
2611,1611,cellular,29,jul,710,2,yes
2612,1612,cellular,29,jul,600,2,yes
2613,1613,cellular,29,jul,2516,2,yes
2614,1614,cellular,29,jul,1058,2,yes
2615,1615,cellular,29,jul,884,1,yes
2616,1616,telephone,29,jul,616,13,yes
2617,1617,cellular,29,jul,808,3,yes
2618,1618,telephone,30,jul,1011,6,yes
2619,1619,cellular,30,jul,1013,29,yes
2620,1620,cellular,30,jul,684,2,yes
2621,1621,cellular,30,jul,843,2,yes
2622,1622,telephone,30,jul,542,2,yes
2623,1623,cellular,30,jul,788,2,yes
2624,1624,cellular,30,jul,988,2,yes
2625,1625,cellular,30,jul,814,2,yes
2626,1626,telephone,30,jul,694,2,yes
2627,1627,cellular,30,jul,441,5,yes
2628,1628,cellular,30,jul,1171,4,yes
2629,1629,cellular,30,jul,729,4,yes
2630,1630,cellular,30,jul,509,2,yes
2631,1631,telephone,30,jul,1089,4,yes
